"","symbol","cases","ctrls","Odds ratio","95% CIs","P value","Adj. P value"
"TRMU","TRMU",2,19,0.647,"0.073-2.688",0.758010506082774,1
"TRNAU1AP","TRNAU1AP",4,6,4.112,"0.852-17.378",0.0397018989377288,1
"TRNP1","TRNP1",5,10,3.085,"0.826-9.93",0.0474611891561284,1
"TRNT1","TRNT1",2,18,0.683,"0.077-2.859",1,1
"TRO","TRO",4,14,1.76,"0.421-5.62",0.30354301091107,1
"TROAP","TROAP",3,18,1.025,"0.193-3.521",1,1
"TROVE2","TROVE2",0,9,0,"0-3.117",0.622676612666482,1
"TRPA1","TRPA1",7,30,1.438,"0.532-3.353",0.346157429043296,1
"TRPC1","TRPC1",5,15,2.055,"0.583-5.965",0.185648735666623,1
"TRPC3","TRPC3",5,15,2.055,"0.583-5.965",0.185648735666623,1
"TRPC4","TRPC4",0,18,0,"0-1.398",0.161446135622142,1
"TRPC4AP","TRPC4AP",6,25,1.479,"0.495-3.705",0.431092104507621,1
"TRPC5","TRPC5",3,8,2.31,"0.394-9.644",0.190882615970189,1
"TRPC6","TRPC6",7,27,1.599,"0.586-3.776",0.315583990917852,1
"TRPC7","TRPC7",1,17,0.361,"0.009-2.31",0.497844008879486,1
"TRPM1","TRPM1",11,60,1.129,"0.533-2.177",0.730060067686633,1
"TRPM2","TRPM2",11,56,1.21,"0.57-2.345",0.593943465223521,1
"TRPM3","TRPM3",5,27,1.14,"0.342-3.012",0.797058416412435,1
"TRPM4","TRPM4",11,47,1.444,"0.673-2.837",0.256084356486659,1
"TRPM5","TRPM5",8,45,1.094,"0.444-2.354",0.841715886027026,1
"TRPM6","TRPM6",6,29,1.274,"0.431-3.133",0.622339269721269,1
"TRPM7","TRPM7",7,31,1.392,"0.516-3.232",0.477883632813287,1
"TRPM8","TRPM8",4,43,0.571,"0.148-1.575",0.396861939025162,1
"TRPS1","TRPS1",8,39,1.264,"0.509-2.754",0.5263748669464,1
"TRPT1","TRPT1",2,7,1.759,"0.178-9.255",0.365109577660504,1
"TRPV1","TRPV1",5,29,1.061,"0.32-2.78",0.806387626723823,1
"TRPV2","TRPV2",7,24,1.799,"0.653-4.318",0.188498230976817,1
"TRPV3","TRPV3",4,35,0.702,"0.181-1.969",0.646196391999808,1
"TRPV4","TRPV4",5,30,1.025,"0.31-2.677",1,1
"TRPV5","TRPV5",5,18,1.712,"0.496-4.798",0.358532331212776,1
"TRPV6","TRPV6",2,14,0.879,"0.097-3.834",1,1
"TRRAP","TRRAP",9,74,0.746,"0.327-1.5",0.523696735934537,1
"TRUB1","TRUB1",2,13,0.946,"0.104-4.189",1,1
"TRUB2","TRUB2",0,12,0,"0-2.214",0.39347571054441,1
"TSACC","TSACC",2,1,12.317,"0.641-723.543",0.0531583015616563,1
"TSC1","TSC1",8,18,2.747,"1.031-6.66",0.0216710085220187,1
"TSC2","TSC2",6,59,0.623,"0.219-1.445",0.367309792566993,1
"TSC22D1","TSC22D1",10,26,2.379,"1.02-5.116",0.0267421556828987,1
"TSC22D2","TSC22D2",5,16,1.927,"0.551-5.519",0.202045084099006,1
"TSC22D3","TSC22D3",0,4,0,"0-9.323",1,1
"TSC22D4","TSC22D4",5,16,1.927,"0.551-5.519",0.202045084099006,1
"TSEN15","TSEN15",0,6,0,"0-5.227",1,1
"TSEN2","TSEN2",3,4,4.623,"0.676-27.353",0.0616957084007511,1
"TSEN34","TSEN34",1,7,0.879,"0.019-6.851",1,1
"TSEN54","TSEN54",7,24,1.799,"0.653-4.318",0.188498230976817,1
"TSFM","TSFM",4,16,1.54,"0.374-4.786",0.511840078855896,1
"TSG101","TSG101",3,11,1.679,"0.3-6.372",0.431542721818455,1
"TSGA10","TSGA10",3,12,1.539,"0.278-5.716",0.455429043363959,1
"TSGA13","TSGA13",3,13,1.421,"0.259-5.182",0.481390254039294,1
"TSHB","TSHB",0,7,0,"0-4.27",0.603344925597232,1
