"","symbol","cases","ctrls","Odds ratio","95% CIs","P value","Adj. P value"
"CEACAM4","CEACAM4",2,4,3.079,"0.278-21.514",0.199849978045513,1
"CEACAM5","CEACAM5",0,20,0,"0-1.244",0.0991432732462037,1
"CEACAM6","CEACAM6",1,8,0.769,"0.017-5.744",1,1
"CEACAM7","CEACAM7",2,7,1.759,"0.178-9.255",0.365109577660504,1
"CEACAM8","CEACAM8",2,9,1.368,"0.144-6.62",0.658821194906285,1
"CEBPA","CEBPA",2,5,2.463,"0.234-15.066",0.255111685903417,1
"CEBPB","CEBPB",2,11,1.119,"0.12-5.136",0.701727828969992,1
"CEBPD","CEBPD",2,12,1.025,"0.111-4.615",1,1
"CEBPE","CEBPE",0,9,0,"0-3.117",0.622676612666482,1
"CEBPG","CEBPG",0,4,0,"0-9.323",1,1
"CEBPZ","CEBPZ",8,34,1.451,"0.579-3.205",0.368292723191041,1
"CEBPZ-AS1","CEBPZ-AS1",0,5,0,"0-6.716",1,1
"CECR1","CECR1",1,17,0.361,"0.009-2.31",0.497844008879486,1
"CECR2","CECR2",5,41,0.749,"0.23-1.9",0.672525387206545,1
"CECR5","CECR5",5,17,1.813,"0.522-5.133",0.220866241845021,1
"CECR6","CECR6",2,12,1.025,"0.111-4.615",1,1
"CEL","CEL",3,29,0.635,"0.124-2.055",0.612234109145144,1
"CELA1","CELA1",1,10,0.615,"0.014-4.33",1,1
"CELA2A","CELA2A",1,11,0.559,"0.013-3.852",1,1
"CELA2B","CELA2B",0,9,0,"0-3.117",0.622676612666482,1
"CELA3A","CELA3A",0,10,0,"0-2.745",0.375510171744492,1
"CELA3B","CELA3B",2,12,1.025,"0.111-4.615",1,1
"CELF1","CELF1",1,6,1.025,"0.022-8.464",1,1
"CELF2","CELF2",2,8,1.539,"0.159-7.725",0.639392254739406,1
"CELF3","CELF3",3,11,1.679,"0.3-6.372",0.431542721818455,1
"CELF4","CELF4",2,6,2.052,"0.202-11.499",0.310577073195175,1
"CELF5","CELF5",0,8,0,"0-3.605",0.610068929015988,1
"CELF6","CELF6",3,12,1.539,"0.278-5.716",0.455429043363959,1
"CELSR1","CELSR1",24,98,1.518,"0.924-2.406",0.0853352796110779,1
"CELSR2","CELSR2",13,77,1.039,"0.527-1.892",0.878432992770702,1
"CELSR3","CELSR3",14,78,1.106,"0.576-1.977",0.76160309279247,1
"CEMP1","CEMP1",0,4,0,"0-9.323",1,1
"CEND1","CEND1",2,3,4.106,"0.343-35.884",0.146321784034376,1
"CENPA","CENPA",1,2,3.077,"0.052-59.188",0.363621084433827,1
"CENPB","CENPB",4,17,1.449,"0.354-4.454",0.523188248243264,1
"CENPBD1","CENPBD1",0,6,0,"0-5.227",1,1
"CENPC","CENPC",2,9,1.368,"0.144-6.62",0.658821194906285,1
"CENPE","CENPE",12,50,1.482,"0.716-2.834",0.266561165552815,1
"CENPF","CENPF",15,65,1.426,"0.752-2.539",0.253927696280591,1
"CENPH","CENPH",1,11,0.559,"0.013-3.852",1,1
"CENPI","CENPI",2,5,2.463,"0.234-15.066",0.255111685903417,1
"CENPJ","CENPJ",8,41,1.202,"0.485-2.606",0.677631298213578,1
"CENPK","CENPK",2,5,2.463,"0.234-15.066",0.255111685903417,1
"CENPL","CENPL",1,11,0.559,"0.013-3.852",1,1
"CENPM","CENPM",1,2,3.077,"0.052-59.188",0.363621084433827,1
"CENPN","CENPN",0,6,0,"0-5.227",1,1
"CENPO","CENPO",1,6,1.025,"0.022-8.464",1,1
"CENPP","CENPP",1,9,0.683,"0.016-4.939",1,1
"CENPQ","CENPQ",3,9,2.053,"0.357-8.245",0.22966252990832,1
"CENPT","CENPT",6,11,3.368,"1.02-9.961",0.023101557391822,1
"CENPU","CENPU",2,9,1.368,"0.144-6.62",0.658821194906285,1
"CENPV","CENPV",0,6,0,"0-5.227",1,1
"CEP104","CEP104",6,18,2.056,"0.667-5.423",0.134520332742599,1
"CEP112","CEP112",6,36,1.025,"0.352-2.465",1,1
"CEP120","CEP120",8,26,1.899,"0.741-4.335",0.131016164384073,1
"CEP128","CEP128",4,28,0.878,"0.223-2.518",1,1
"CEP135","CEP135",10,31,1.994,"0.869-4.188",0.0676044090701283,1
"CEP152","CEP152",10,49,1.258,"0.566-2.524",0.455071874524004,1
"CEP164","CEP164",9,42,1.321,"0.564-2.763",0.419090229436107,1
"CEP170","CEP170",5,21,1.467,"0.431-4.009",0.398019319083079,1
"CEP170B","CEP170B",13,76,1.053,"0.534-1.919",0.877505373036824,1
"CEP19","CEP19",2,2,6.159,"0.446-85.26",0.0965477767420391,1
"CEP192","CEP192",12,39,1.903,"0.904-3.725",0.06471614610018,1
"CEP250","CEP250",6,68,0.54,"0.191-1.242",0.176872566526023,1
"CEP290","CEP290",16,87,1.133,"0.618-1.955",0.667021027503973,1
"CEP350","CEP350",12,70,1.055,"0.519-1.97",0.872484720445823,1
"CEP41","CEP41",2,10,1.231,"0.131-5.787",0.679878101976289,1
"CEP44","CEP44",1,6,1.025,"0.022-8.464",1,1
"CEP55","CEP55",2,12,1.025,"0.111-4.615",1,1
"CEP57","CEP57",7,15,2.883,"0.992-7.533",0.0258991458966048,1
"CEP57L1","CEP57L1",2,9,1.368,"0.144-6.62",0.658821194906285,1
"CEP63","CEP63",7,19,2.275,"0.806-5.668",0.0806207857432852,1
"CEP68","CEP68",2,18,0.683,"0.077-2.859",1,1
"CEP70","CEP70",2,22,0.558,"0.064-2.277",0.565568150629973,1
"CEP72","CEP72",6,20,1.85,"0.607-4.791",0.249103456598556,1
"CEP76","CEP76",4,14,1.76,"0.421-5.62",0.30354301091107,1
"CEP78","CEP78",5,32,0.961,"0.292-2.492",1,1
"CEP85","CEP85",4,22,1.119,"0.28-3.304",0.777283883271066,1
"CEP85L","CEP85L",5,24,1.283,"0.381-3.44",0.590237796823468,1
"CEP89","CEP89",7,25,1.727,"0.629-4.121",0.199718418580893,1
"CEP95","CEP95",4,28,0.878,"0.223-2.518",1,1
"CEP97","CEP97",2,24,0.512,"0.059-2.066",0.568979735906133,1
"CEPT1","CEPT1",2,7,1.759,"0.178-9.255",0.365109577660504,1
"CER1","CER1",1,9,0.683,"0.016-4.939",1,1
"CERCAM","CERCAM",5,23,1.339,"0.397-3.611",0.5813206626191,1
"CERK","CERK",5,19,1.622,"0.472-4.503",0.369253344532591,1
"CERKL","CERKL",5,14,2.202,"0.619-6.487",0.172005054429364,1
"CERS1","CERS1",3,11,1.679,"0.3-6.372",0.431542721818455,1
"CERS2","CERS2",2,14,0.879,"0.097-3.834",1,1
"CERS3","CERS3",2,8,1.539,"0.159-7.725",0.639392254739406,1
"CERS4","CERS4",4,21,1.172,"0.292-3.484",0.770935104837492,1
"CERS5","CERS5",0,13,0,"0-2.018",0.237075628696029,1
"CERS6","CERS6",3,9,2.053,"0.357-8.245",0.22966252990832,1
"CES1","CES1",3,18,1.025,"0.193-3.521",1,1
"CES2","CES2",3,17,1.086,"0.204-3.763",0.752971839014173,1
"CES3","CES3",3,18,1.025,"0.193-3.521",1,1
"CES4A","CES4A",1,14,0.439,"0.01-2.89",0.709996289764432,1
"CES5A","CES5A",4,18,1.368,"0.336-4.165",0.53682932860853,1
"CETN1","CETN1",0,3,0,"0-14.893",1,1
"CETN2","CETN2",0,1,0,"0-239.007",1,1
"CETN3","CETN3",0,3,0,"0-14.893",1,1
"CETP","CETP",1,15,0.41,"0.01-2.667",0.714917673307461,1
"CFB","CFB",5,24,1.283,"0.381-3.44",0.590237796823468,1
"CFC1","CFC1",1,1,6.154,"0.078-481.339",0.260133490143103,1
"CFD","CFD",5,18,1.712,"0.496-4.798",0.358532331212776,1
"CFDP1","CFDP1",3,7,2.64,"0.44-11.587",0.154003911264573,1
"CFH","CFH",6,11,3.368,"1.02-9.961",0.023101557391822,1
"CFHR1","CFHR1",3,11,1.679,"0.3-6.372",0.431542721818455,1
"CFHR2","CFHR2",4,11,2.241,"0.52-7.581",0.146976758973893,1
"CFHR3","CFHR3",2,2,6.159,"0.446-85.26",0.0965477767420391,1
"CFHR4","CFHR4",3,21,0.878,"0.167-2.949",1,1
"CFHR5","CFHR5",2,19,0.647,"0.073-2.688",0.758010506082774,1
"CFI","CFI",1,12,0.512,"0.012-3.468",1,1
"CFL2","CFL2",0,2,0,"0-32.757",1,1
"CFLAR","CFLAR",0,4,0,"0-9.323",1,1
"CFP","CFP",1,3,2.051,"0.039-25.583",0.452645520331089,1
"CFTR","CFTR",11,54,1.256,"0.59-2.439",0.472603519956509,1
"CGA","CGA",1,2,3.077,"0.052-59.188",0.363621084433827,1
"CGB1","CGB1",0,1,0,"0-239.007",1,1
"CGB2","CGB2",0,1,0,"0-239.007",1,1
"CGB7","CGB7",0,2,0,"0-32.757",1,1
"CGGBP1","CGGBP1",0,1,0,"0-239.007",1,1
"CGN","CGN",12,49,1.512,"0.73-2.897",0.194949270928162,1
"CGNL1","CGNL1",7,35,1.232,"0.46-2.824",0.653256754627231,1
"CGREF1","CGREF1",3,10,1.848,"0.326-7.192",0.410568517995923,1
"CGRRF1","CGRRF1",0,5,0,"0-6.716",1,1
"CH17-132F21.1","CH17-132F21.1",0,3,0,"0-14.893",1,1
"CH25H","CH25H",4,5,4.935,"0.977-22.967",0.0267199569513988,1
"CHAC1","CHAC1",1,5,1.23,"0.026-11.012",0.595101749677219,1
"CHAC2","CHAC2",0,9,0,"0-3.117",0.622676612666482,1
"CHAD","CHAD",1,9,0.683,"0.016-4.939",1,1
"CHADL","CHADL",6,24,1.541,"0.514-3.882",0.29881183571356,1
"CHAF1A","CHAF1A",1,17,0.361,"0.009-2.31",0.497844008879486,1
"CHAF1B","CHAF1B",1,6,1.025,"0.022-8.464",1,1
"CHAMP1","CHAMP1",4,20,1.231,"0.305-3.685",0.765639688844986,1
"CHAT","CHAT",1,28,0.219,"0.005-1.327",0.172046934575353,1
"CHCHD1","CHCHD1",0,3,0,"0-14.893",1,1
"CHCHD10","CHCHD10",0,6,0,"0-5.227",1,1
"CHCHD2","CHCHD2",3,7,2.64,"0.44-11.587",0.154003911264573,1
"CHCHD3","CHCHD3",2,9,1.368,"0.144-6.62",0.658821194906285,1
"CHCHD4","CHCHD4",0,3,0,"0-14.893",1,1
"CHCHD5","CHCHD5",1,5,1.23,"0.026-11.012",0.595101749677219,1
"CHCHD6","CHCHD6",1,5,1.23,"0.026-11.012",0.595101749677219,1
"CHCHD7","CHCHD7",0,3,0,"0-14.893",1,1
"CHD1","CHD1",5,27,1.14,"0.342-3.012",0.797058416412435,1
"CHD1L","CHD1L",6,36,1.025,"0.352-2.465",1,1
"CHD2","CHD2",5,24,1.283,"0.381-3.44",0.590237796823468,1
"CHD3","CHD3",9,51,1.086,"0.469-2.237",0.851118800336996,1
"CHD4","CHD4",7,28,1.541,"0.567-3.623",0.323948206537819,1
"CHD5","CHD5",8,42,1.173,"0.474-2.539",0.681252108745673,1
"CHD6","CHD6",10,32,1.931,"0.844-4.041",0.0737171414168415,1
"CHD7","CHD7",18,67,1.664,"0.926-2.847",0.0593799291943738,1
"CHD8","CHD8",9,46,1.205,"0.517-2.502",0.560166008584936,1
"CHD9","CHD9",25,76,2.048,"1.242-3.275",0.00345731626394589,1
"CHDC2","CHDC2",0,6,0,"0-5.227",1,1
"CHDH","CHDH",4,26,0.946,"0.239-2.735",1,1
"CHEK1","CHEK1",2,6,2.052,"0.202-11.499",0.310577073195175,1
"CHEK2","CHEK2",5,25,1.231,"0.367-3.285",0.60066527627902,1
"CHERP","CHERP",3,24,0.768,"0.148-2.537",1,1
"CHFR","CHFR",6,18,2.056,"0.667-5.423",0.134520332742599,1
"CHGA","CHGA",1,12,0.512,"0.012-3.468",1,1
"CHGB","CHGB",3,16,1.154,"0.215-4.041",0.741504891089014,1
"CHI3L1","CHI3L1",0,14,0,"0-1.854",0.241575351311578,1
"CHI3L2","CHI3L2",2,12,1.025,"0.111-4.615",1,1
"CHIA","CHIA",1,14,0.439,"0.01-2.89",0.709996289764432,1
"CHIC1","CHIC1",2,6,2.052,"0.202-11.499",0.310577073195175,1
"CHIC2","CHIC2",0,2,0,"0-32.757",1,1
"CHID1","CHID1",2,15,0.82,"0.091-3.534",1,1
"CHIT1","CHIT1",3,13,1.421,"0.259-5.182",0.481390254039294,1
"CHKA","CHKA",3,10,1.848,"0.326-7.192",0.410568517995923,1
"CHKB","CHKB",3,23,0.802,"0.154-2.661",1,1
"CHL1","CHL1",7,44,0.978,"0.371-2.198",1,1
"CHM","CHM",1,12,0.512,"0.012-3.468",1,1
"CHML","CHML",4,14,1.76,"0.421-5.62",0.30354301091107,1
"CHMP1A","CHMP1A",0,4,0,"0-9.323",1,1
"CHMP1B","CHMP1B",0,4,0,"0-9.323",1,1
"CHMP2A","CHMP2A",0,12,0,"0-2.214",0.39347571054441,1
"CHMP2B","CHMP2B",4,9,2.74,"0.615-9.84",0.0962064612160935,1
"CHMP3","CHMP3",0,9,0,"0-3.117",0.622676612666482,1
"CHMP4A","CHMP4A",0,10,0,"0-2.745",0.375510171744492,1
"CHMP4B","CHMP4B",1,1,6.154,"0.078-481.339",0.260133490143103,1
"CHMP4C","CHMP4C",1,8,0.769,"0.017-5.744",1,1
"CHMP5","CHMP5",0,6,0,"0-5.227",1,1
"CHMP6","CHMP6",1,3,2.051,"0.039-25.583",0.452645520331089,1
"CHMP7","CHMP7",2,12,1.025,"0.111-4.615",1,1
"CHN1","CHN1",2,12,1.025,"0.111-4.615",1,1
"CHN2","CHN2",3,9,2.053,"0.357-8.245",0.22966252990832,1
"CHODL","CHODL",6,10,3.706,"1.104-11.281",0.0169026013832543,1
"CHORDC1","CHORDC1",3,8,2.31,"0.394-9.644",0.190882615970189,1
"CHP1","CHP1",1,1,6.154,"0.078-481.339",0.260133490143103,1
"CHP2","CHP2",0,7,0,"0-4.27",0.603344925597232,1
"CHPF","CHPF",4,29,0.848,"0.216-2.422",1,1
"CHPF2","CHPF2",12,30,2.477,"1.151-5.001",0.0120191962379182,1
"CHPT1","CHPT1",5,11,2.804,"0.762-8.776",0.0613514563256166,1
"CHRAC1","CHRAC1",0,4,0,"0-9.323",1,1
"CHRD","CHRD",2,32,0.383,"0.044-1.506",0.219215505865507,1
"CHRDL1","CHRDL1",4,9,2.74,"0.615-9.84",0.0962064612160935,1
"CHRDL2","CHRDL2",2,10,1.231,"0.131-5.787",0.679878101976289,1
"CHRFAM7A","CHRFAM7A",1,6,1.025,"0.022-8.464",1,1
"CHRM1","CHRM1",4,7,3.524,"0.755-13.89",0.0556606987162643,1
"CHRM2","CHRM2",0,5,0,"0-6.716",1,1
"CHRM3","CHRM3",1,4,1.538,"0.031-15.557",0.529226454405268,1
"CHRM4","CHRM4",1,7,0.879,"0.019-6.851",1,1
"CHRM5","CHRM5",2,7,1.759,"0.178-9.255",0.365109577660504,1
"CHRNA1","CHRNA1",2,10,1.231,"0.131-5.787",0.679878101976289,1
"CHRNA10","CHRNA10",4,14,1.76,"0.421-5.62",0.30354301091107,1
"CHRNA2","CHRNA2",3,20,0.922,"0.175-3.119",1,1
"CHRNA3","CHRNA3",2,21,0.585,"0.066-2.399",0.761589471370194,1
"CHRNA4","CHRNA4",5,14,2.202,"0.619-6.487",0.172005054429364,1
"CHRNA5","CHRNA5",4,19,1.296,"0.32-3.91",0.552339193553217,1
"CHRNA6","CHRNA6",3,11,1.679,"0.3-6.372",0.431542721818455,1
"CHRNA7","CHRNA7",1,7,0.879,"0.019-6.851",1,1
"CHRNA9","CHRNA9",4,14,1.76,"0.421-5.62",0.30354301091107,1
"CHRNB1","CHRNB1",3,16,1.154,"0.215-4.041",0.741504891089014,1
"CHRNB2","CHRNB2",1,15,0.41,"0.01-2.667",0.714917673307461,1
"CHRNB3","CHRNB3",1,27,0.227,"0.006-1.381",0.167110483772197,1
"CHRNB4","CHRNB4",4,12,2.054,"0.482-6.795",0.265087990681448,1
"CHRND","CHRND",2,15,0.82,"0.091-3.534",1,1
"CHRNE","CHRNE",4,23,1.07,"0.268-3.141",0.784502510956041,1
"CHRNG","CHRNG",5,27,1.14,"0.342-3.012",0.797058416412435,1
"CHST1","CHST1",0,8,0,"0-3.605",0.610068929015988,1
"CHST10","CHST10",2,15,0.82,"0.091-3.534",1,1
"CHST11","CHST11",2,5,2.463,"0.234-15.066",0.255111685903417,1
"CHST12","CHST12",3,16,1.154,"0.215-4.041",0.741504891089014,1
"CHST13","CHST13",3,15,1.231,"0.228-4.362",0.731093398242643,1
"CHST14","CHST14",1,7,0.879,"0.019-6.851",1,1
"CHST15","CHST15",0,13,0,"0-2.018",0.237075628696029,1
"CHST2","CHST2",2,14,0.879,"0.097-3.834",1,1
"CHST3","CHST3",0,14,0,"0-1.854",0.241575351311578,1
"CHST4","CHST4",6,15,2.469,"0.783-6.752",0.10434959149483,1
"CHST5","CHST5",3,10,1.848,"0.326-7.192",0.410568517995923,1
"CHST6","CHST6",5,18,1.712,"0.496-4.798",0.358532331212776,1
"CHST7","CHST7",1,9,0.683,"0.016-4.939",1,1
"CHST8","CHST8",2,11,1.119,"0.12-5.136",0.701727828969992,1
"CHST9","CHST9",3,13,1.421,"0.259-5.182",0.481390254039294,1
"CHSY1","CHSY1",9,29,1.917,"0.796-4.174",0.0974390931496774,1
"CHSY3","CHSY3",2,16,0.768,"0.086-3.276",1,1
"CHTF18","CHTF18",16,47,2.111,"1.113-3.808",0.0158231556054989,1
"CHTF8","CHTF8",6,7,5.296,"1.467-18.441",0.0052508191445154,1
"CHTOP","CHTOP",0,4,0,"0-9.323",1,1
"CHUK","CHUK",1,23,0.267,"0.006-1.646",0.239266558158527,1
"CHURC1","CHURC1",2,2,6.159,"0.446-85.26",0.0965477767420391,1
"CHURC1-FNTB","CHURC1-FNTB",0,6,0,"0-5.227",1,1
"CIAO1","CIAO1",2,9,1.368,"0.144-6.62",0.658821194906285,1
"CIAPIN1","CIAPIN1",1,8,0.769,"0.017-5.744",1,1
"CIB1","CIB1",0,3,0,"0-14.893",1,1
"CIB2","CIB2",2,7,1.759,"0.178-9.255",0.365109577660504,1
"CIB3","CIB3",0,6,0,"0-5.227",1,1
"CIB4","CIB4",1,3,2.051,"0.039-25.583",0.452645520331089,1
"CIC","CIC",19,48,2.461,"1.36-4.287",0.00203024339727967,1
"CIDEA","CIDEA",3,8,2.31,"0.394-9.644",0.190882615970189,1
"CIDEB","CIDEB",5,11,2.804,"0.762-8.776",0.0613514563256166,1
"CIDEC","CIDEC",3,6,3.081,"0.498-14.447",0.11971330756652,1
"CIITA","CIITA",4,31,0.793,"0.203-2.249",0.810344247154828,1
"CILP","CILP",7,47,0.916,"0.348-2.046",1,1
"CILP2","CILP2",7,35,1.232,"0.46-2.824",0.653256754627231,1
"CINP","CINP",1,6,1.025,"0.022-8.464",1,1
"CIPC","CIPC",1,12,0.512,"0.012-3.468",1,1
"CIR1","CIR1",5,18,1.712,"0.496-4.798",0.358532331212776,1
"CIRBP","CIRBP",0,9,0,"0-3.117",0.622676612666482,1
"CIRH1A","CIRH1A",1,14,0.439,"0.01-2.89",0.709996289764432,1
"CISD1","CISD1",0,2,0,"0-32.757",1,1
"CISD2","CISD2",1,5,1.23,"0.026-11.012",0.595101749677219,1
"CISD3","CISD3",0,4,0,"0-9.323",1,1
"CISH","CISH",2,12,1.025,"0.111-4.615",1,1
"CIT","CIT",11,40,1.699,"0.784-3.387",0.151494315562273,1
"CITED2","CITED2",1,12,0.512,"0.012-3.468",1,1
"CITED4","CITED4",1,9,0.683,"0.016-4.939",1,1
"CIZ1","CIZ1",2,12,1.025,"0.111-4.615",1,1
"CKAP2","CKAP2",1,18,0.341,"0.008-2.165",0.50323536378801,1
"CKAP2L","CKAP2L",3,16,1.154,"0.215-4.041",0.741504891089014,1
"CKAP4","CKAP4",4,29,0.848,"0.216-2.422",1,1
"CKAP5","CKAP5",11,34,2.001,"0.911-4.059",0.0513157111817255,1
"CKB","CKB",5,9,3.428,"0.901-11.42",0.0356244300334382,1
"CKLF","CKLF",1,4,1.538,"0.031-15.557",0.529226454405268,1
"CKLF-CMTM1","CKLF-CMTM1",0,4,0,"0-9.323",1,1
"CKM","CKM",2,12,1.025,"0.111-4.615",1,1
"CKMT1A","CKMT1A",0,4,0,"0-9.323",1,1
"CKMT1B","CKMT1B",1,4,1.538,"0.031-15.557",0.529226454405268,1
"CKMT2","CKMT2",3,21,0.878,"0.167-2.949",1,1
"CKS1B","CKS1B",0,1,0,"0-239.007",1,1
"CLASP1","CLASP1",4,37,0.664,"0.172-1.853",0.649670579436942,1
"CLASP2","CLASP2",4,28,0.878,"0.223-2.518",1,1
"CLASRP","CLASRP",2,35,0.35,"0.041-1.367",0.157197987080482,1
"CLC","CLC",1,3,2.051,"0.039-25.583",0.452645520331089,1
"CLCA1","CLCA1",5,19,1.622,"0.472-4.503",0.369253344532591,1
"CLCA2","CLCA2",4,27,0.911,"0.231-2.622",1,1
"CLCA4","CLCA4",8,30,1.645,"0.65-3.686",0.235732269299799,1
"CLCC1","CLCC1",2,14,0.879,"0.097-3.834",1,1
"CLCF1","CLCF1",1,9,0.683,"0.016-4.939",1,1
"CLCN1","CLCN1",5,22,1.4,"0.413-3.8",0.415376105815866,1
"CLCN2","CLCN2",6,23,1.608,"0.534-4.075",0.283235647630451,1
"CLCN3","CLCN3",3,12,1.539,"0.278-5.716",0.455429043363959,1
"CLCN4","CLCN4",1,1,6.154,"0.078-481.339",0.260133490143103,1
"CLCN5","CLCN5",0,13,0,"0-2.018",0.237075628696029,1
"CLCN6","CLCN6",6,31,1.192,"0.405-2.909",0.636175779234475,1
"CLCN7","CLCN7",4,25,0.984,"0.248-2.859",1,1
"CLCNKA","CLCNKA",5,17,1.813,"0.522-5.133",0.220866241845021,1
"CLCNKB","CLCNKB",6,34,1.086,"0.372-2.626",0.819010402915995,1
"CLDN1","CLDN1",2,9,1.368,"0.144-6.62",0.658821194906285,1
"CLDN10","CLDN10",2,9,1.368,"0.144-6.62",0.658821194906285,1
"CLDN11","CLDN11",0,2,0,"0-32.757",1,1
"CLDN12","CLDN12",1,4,1.538,"0.031-15.557",0.529226454405268,1
"CLDN14","CLDN14",3,16,1.154,"0.215-4.041",0.741504891089014,1
"CLDN15","CLDN15",0,4,0,"0-9.323",1,1
"CLDN16","CLDN16",0,8,0,"0-3.605",0.610068929015988,1
"CLDN17","CLDN17",2,11,1.119,"0.12-5.136",0.701727828969992,1
"CLDN18","CLDN18",2,6,2.052,"0.202-11.499",0.310577073195175,1
"CLDN19","CLDN19",2,8,1.539,"0.159-7.725",0.639392254739406,1
"CLDN2","CLDN2",0,2,0,"0-32.757",1,1
"CLDN20","CLDN20",1,9,0.683,"0.016-4.939",1,1
"CLDN22","CLDN22",1,7,0.879,"0.019-6.851",1,1
"CLDN23","CLDN23",1,12,0.512,"0.012-3.468",1,1
"CLDN24","CLDN24",0,8,0,"0-3.605",0.610068929015988,1
"CLDN25","CLDN25",3,4,4.623,"0.676-27.353",0.0616957084007511,1
"CLDN3","CLDN3",1,6,1.025,"0.022-8.464",1,1
"CLDN4","CLDN4",2,8,1.539,"0.159-7.725",0.639392254739406,1
"CLDN5","CLDN5",2,3,4.106,"0.343-35.884",0.146321784034376,1
"CLDN6","CLDN6",1,12,0.512,"0.012-3.468",1,1
"CLDN7","CLDN7",1,9,0.683,"0.016-4.939",1,1
"CLDN8","CLDN8",1,7,0.879,"0.019-6.851",1,1
"CLDN9","CLDN9",2,7,1.759,"0.178-9.255",0.365109577660504,1
"CLDND1","CLDND1",1,7,0.879,"0.019-6.851",1,1
"CLDND2","CLDND2",4,5,4.935,"0.977-22.967",0.0267199569513988,1
"CLEC10A","CLEC10A",0,9,0,"0-3.117",0.622676612666482,1
"CLEC11A","CLEC11A",1,14,0.439,"0.01-2.89",0.709996289764432,1
"CLEC12A","CLEC12A",1,9,0.683,"0.016-4.939",1,1
"CLEC12B","CLEC12B",0,5,0,"0-6.716",1,1
"CLEC14A","CLEC14A",2,16,0.768,"0.086-3.276",1,1
"CLEC16A","CLEC16A",1,36,0.17,"0.004-1.012",0.0533387909882762,1
"CLEC17A","CLEC17A",1,5,1.23,"0.026-11.012",0.595101749677219,1
"CLEC18A","CLEC18A",1,6,1.025,"0.022-8.464",1,1
"CLEC18B","CLEC18B",1,2,3.077,"0.052-59.188",0.363621084433827,1
"CLEC18C","CLEC18C",2,3,4.106,"0.343-35.884",0.146321784034376,1
"CLEC19A","CLEC19A",2,5,2.463,"0.234-15.066",0.255111685903417,1
"CLEC1A","CLEC1A",1,13,0.473,"0.011-3.153",0.70780597982364,1
"CLEC1B","CLEC1B",1,7,0.879,"0.019-6.851",1,1
"CLEC2A","CLEC2A",3,1,18.492,"1.483-965.619",0.00976882638127349,1
"CLEC2B","CLEC2B",0,1,0,"0-239.007",1,1
"CLEC2D","CLEC2D",1,6,1.025,"0.022-8.464",1,1
"CLEC2L","CLEC2L",1,9,0.683,"0.016-4.939",1,1
"CLEC3A","CLEC3A",1,12,0.512,"0.012-3.468",1,1
"CLEC3B","CLEC3B",0,6,0,"0-5.227",1,1
"CLEC4A","CLEC4A",2,6,2.052,"0.202-11.499",0.310577073195175,1
"CLEC4C","CLEC4C",1,6,1.025,"0.022-8.464",1,1
"CLEC4D","CLEC4D",1,1,6.154,"0.078-481.339",0.260133490143103,1
"CLEC4E","CLEC4E",0,9,0,"0-3.117",0.622676612666482,1
"CLEC4F","CLEC4F",3,5,3.698,"0.573-19.033",0.0887155240281463,1
"CLEC4G","CLEC4G",2,3,4.106,"0.343-35.884",0.146321784034376,1
"CLEC4M","CLEC4M",1,13,0.473,"0.011-3.153",0.70780597982364,1
"CLEC5A","CLEC5A",1,6,1.025,"0.022-8.464",1,1
"CLEC6A","CLEC6A",0,6,0,"0-5.227",1,1
"CLEC7A","CLEC7A",0,5,0,"0-6.716",1,1
"CLEC9A","CLEC9A",1,3,2.051,"0.039-25.583",0.452645520331089,1
"CLECL1","CLECL1",2,4,3.079,"0.278-21.514",0.199849978045513,1
"CLGN","CLGN",3,18,1.025,"0.193-3.521",1,1
"CLHC1","CLHC1",3,18,1.025,"0.193-3.521",1,1
"CLIC1","CLIC1",0,5,0,"0-6.716",1,1
"CLIC2","CLIC2",0,3,0,"0-14.893",1,1
"CLIC3","CLIC3",2,5,2.463,"0.234-15.066",0.255111685903417,1
"CLIC4","CLIC4",1,1,6.154,"0.078-481.339",0.260133490143103,1
"CLIC5","CLIC5",0,9,0,"0-3.117",0.622676612666482,1
"CLIC6","CLIC6",1,22,0.279,"0.007-1.729",0.238930332860639,1
"CLINT1","CLINT1",0,17,0,"0-1.489",0.154306318997083,1
"CLIP1","CLIP1",8,40,1.232,"0.497-2.678",0.533978172985971,1
"CLIP2","CLIP2",10,31,1.994,"0.869-4.188",0.0676044090701283,1
"CLIP3","CLIP3",2,16,0.768,"0.086-3.276",1,1
"CLIP4","CLIP4",5,22,1.4,"0.413-3.8",0.415376105815866,1
"CLK1","CLK1",1,13,0.473,"0.011-3.153",0.70780597982364,1
"CLK2","CLK2",3,21,0.878,"0.167-2.949",1,1
"CLK3","CLK3",6,14,2.645,"0.831-7.348",0.05018588530236,1
"CLK4","CLK4",1,4,1.538,"0.031-15.557",0.529226454405268,1
"CLLU1","CLLU1",0,1,0,"0-239.007",1,1
"CLLU1OS","CLLU1OS",0,1,0,"0-239.007",1,1
"CLMN","CLMN",10,31,1.994,"0.869-4.188",0.0676044090701283,1
"CLMP","CLMP",4,8,3.083,"0.678-11.529",0.0745428741557966,1
"CLN3","CLN3",5,16,1.927,"0.551-5.519",0.202045084099006,1
"CLN5","CLN5",3,23,0.802,"0.154-2.661",1,1
"CLN6","CLN6",2,12,1.025,"0.111-4.615",1,1
"CLN8","CLN8",1,10,0.615,"0.014-4.33",1,1
